(2, 1)	0.9999992000006301	[[2, 3, 11, 18, 23, 25, 26, 27, 28, 29, 30, 31, 33, 41, 42, 43, 48, 49, 51, 54, 57, 64, 65, 66, 68, 76, 77, 79, 81, 84, 87, 91, 95, 102, 104, 105, 109, 110, 111, 115, 123, 124, 126], [1, 2, 7, 10, 15, 21, 22, 23, 29], [2, 6, 8]]
(9, 1)	0.9989363480946403	[[0, 2, 10, 23, 25, 30, 31, 34, 38, 41, 43, 48, 51, 54, 57, 65, 66, 70, 73, 75, 76, 77, 78, 81, 83, 84, 86, 91, 94, 100, 102, 104, 105, 107, 113, 122], [5, 7, 8, 14, 15, 24, 29], [4, 5, 7, 8, 9]]
(8, 1)	0.9971050474468024	[[2, 3, 4, 8, 10, 23, 25, 26, 28, 29, 30, 31, 33, 36, 38, 43, 45, 48, 49, 51, 54, 57, 60, 64, 65, 66, 67, 69, 70, 73, 75, 76, 77, 81, 83, 84, 91, 94, 104, 105, 107, 109, 110, 111, 120, 124, 126], [1, 3, 7, 12, 14, 15, 16, 21, 22, 29], [1, 3, 5, 8]]
(5, 0)	0.9906539110861866	[[0, 3, 4, 8, 11, 16, 18, 25, 28, 29, 31, 36, 41, 43, 48, 50, 56, 57, 66, 67, 70, 76, 77, 80, 83, 84, 91, 105, 107, 109, 110, 122, 124, 125, 126], [3, 7, 8, 15, 16, 23, 26, 29], [0, 3, 5, 8]]
(5, 1)	0.9898237702855179	[[0, 2, 3, 4, 10, 25, 28, 29, 30, 31, 36, 38, 41, 43, 48, 51, 56, 57, 66, 67, 70, 73, 76, 77, 80, 81, 83, 84, 91, 100, 105, 107, 109, 110, 113, 122, 123, 124, 125], [3, 7, 8, 15, 16, 23, 26, 29], [0, 5, 8]]
(3, 1)	0.9886993315021511	[[0, 2, 3, 4, 8, 18, 23, 25, 26, 30, 31, 33, 34, 36, 38, 43, 49, 50, 51, 54, 64, 65, 66, 67, 69, 70, 75, 76, 77, 83, 84, 87, 102, 104, 105, 107, 109, 110, 121, 122, 124], [3, 5, 12, 15, 16, 21, 29, 31], [3, 5, 8]]
(7, 1)	0.9786922237707419	[[0, 2, 3, 11, 18, 23, 26, 30, 33, 34, 38, 41, 43, 45, 48, 49, 51, 54, 57, 64, 65, 66, 70, 73, 75, 76, 77, 78, 79, 81, 82, 83, 84, 87, 88, 94, 95, 102, 104, 105, 107, 110, 111, 115, 121, 122, 124, 126], [1, 5, 10, 15, 21, 23, 24, 29], [2, 3, 7, 9]]
(6, 1)	0.9736218528721998	[[2, 3, 4, 11, 22, 23, 25, 27, 28, 29, 30, 31, 36, 38, 40, 42, 43, 48, 49, 57, 60, 66, 67, 70, 75, 76, 77, 83, 87, 91, 95, 100, 109, 110, 111, 112, 123, 124, 126], [3, 7, 14, 20, 21, 22, 23, 26, 27], [2, 5, 6]]
(0, 1)	0.9480562799074815	[[0, 2, 3, 4, 8, 11, 16, 18, 27, 28, 29, 36, 40, 41, 42, 43, 48, 51, 54, 64, 66, 70, 76, 77, 80, 81, 83, 84, 86, 91, 95, 102, 104, 105, 107, 109, 110, 122, 124, 125], [1, 2, 3, 24, 26, 29, 30], [0, 5]]
(3, 0)	0.9452262210990676	[[2, 3, 4, 8, 16, 18, 23, 25, 29, 36, 41, 43, 49, 50, 51, 54, 64, 65, 66, 67, 69, 70, 76, 77, 83, 84, 87, 95, 105, 107, 109, 110, 121, 124, 125], [2, 3, 12, 16, 21, 29, 30, 31], [3, 5, 8]]
(6, 0)	0.8774274345746778	[[2, 3, 4, 5, 11, 13, 15, 16, 22, 27, 28, 29, 31, 36, 40, 42, 43, 48, 49, 57, 60, 66, 67, 68, 70, 76, 77, 80, 91, 95, 100, 102, 107, 109, 110, 111, 123, 124, 126], [3, 7, 14, 20, 21, 22, 24, 26, 27, 30], [2, 6]]
(4, 1)	0.8499170395258095	[[2, 11, 13, 16, 20, 25, 27, 28, 29, 30, 31, 41, 42, 43, 48, 51, 52, 57, 60, 61, 62, 66, 68, 76, 78, 80, 84, 91, 92, 94, 95, 100, 102, 104, 105, 107, 109, 111, 123, 126], [7, 10, 14, 23, 30], [4, 9]]
(1, 1)	0.8474780417019178	[[2, 3, 11, 23, 25, 30, 31, 33, 38, 43, 45, 48, 49, 51, 57, 64, 65, 66, 67, 70, 75, 76, 77, 79, 87, 88, 94, 111, 117, 120, 121, 124], [1, 2, 5, 12, 14, 21, 23, 25], [1, 2, 8]]
(0, 0)	0.8339384143385958	[[0, 2, 3, 4, 8, 11, 13, 16, 18, 20, 29, 36, 41, 43, 48, 51, 54, 56, 64, 66, 68, 70, 73, 76, 77, 80, 83, 84, 86, 91, 95, 102, 105, 107, 109, 110, 122, 124, 125], [1, 2, 3, 6, 24, 26, 29, 30], [0, 5]]
